nfs-server    | Starting rpcbind
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /sys/fs/cgroup/hugetlb because type cgroup
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /sys/fs/cgroup/cpu,cpuacct because type cgroup
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /sys/fs/cgroup/freezer because type cgroup
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /sys/fs/cgroup/perf_event because type cgroup
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /sys/fs/cgroup/pids because type cgroup
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] populate_posix_file_systems :FSAL :DEBUG :Ignoring /dev/mqueue because type mqueue
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :F_DBG :statfs of /dev/shm pathlen 0
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :DEBUG :blkid_devno_to_devname of /dev/shm failed for dev 0.281
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_create_file_system :FSAL :INFO :Added filesystem /dev/shm namelen=255 dev=0.281 fsid=0x0000000000000000.0x0000000000000119 0.281 type=tmpfs
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :F_DBG :statfs of /exports pathlen 0
